Date;Pression station
2020-01-05T10:00:00+01:00;92600
2020-01-05T10:00:00+01:00;102560
2020-01-05T10:00:00+01:00;102460
2020-01-05T10:00:00+01:00;102620
2020-01-05T10:00:00+01:00;102850
2020-01-05T10:00:00+01:00;102850
2020-01-05T10:00:00+01:00;101670
2020-01-05T10:00:00+01:00;101880
2020-01-05T10:00:00+01:00;103430
2020-01-05T10:00:00+01:00;100310
2020-01-05T10:00:00+01:00;103320
2020-01-05T10:00:00+01:00;102230
2020-01-05T10:00:00+01:00;103020
2020-01-05T10:00:00+01:00;99030
2020-01-05T10:00:00+01:00;99500
2020-01-05T10:00:00+01:00;101830
2020-01-05T10:00:00+01:00;102290
2020-01-05T10:00:00+01:00;103440
2020-01-05T10:00:00+01:00;102280
2020-01-05T10:00:00+01:00;103020
2020-01-05T10:00:00+01:00;102560
2020-01-05T10:00:00+01:00;102750
2020-01-05T10:00:00+01:00;100630
2020-01-05T10:00:00+01:00;102350
2020-01-05T10:00:00+01:00;93600
2020-01-05T10:00:00+01:00;94690
2020-01-05T10:00:00+01:00;102360
2020-01-05T13:00:00+01:00;102190
2020-01-05T13:00:00+01:00;101810
2020-01-05T13:00:00+01:00;100470
2020-01-05T13:00:00+01:00;102500
2020-01-05T13:00:00+01:00;102190
2020-01-05T13:00:00+01:00;102220
2020-01-05T13:00:00+01:00;102050
2020-01-05T13:00:00+01:00;103410
2020-01-05T13:00:00+01:00;103270
2020-01-05T13:00:00+01:00;102450
2020-01-05T13:00:00+01:00;98790
2020-01-05T13:00:00+01:00;101540
2020-01-05T13:00:00+01:00;99520
2020-01-05T13:00:00+01:00;103110
2020-01-05T13:00:00+01:00;100120
2020-01-05T13:00:00+01:00;101490
2020-01-05T13:00:00+01:00;101750
2020-01-05T13:00:00+01:00;103200
2020-01-05T13:00:00+01:00;102510
2020-01-05T13:00:00+01:00;98440
2020-01-05T13:00:00+01:00;101850
2020-01-05T13:00:00+01:00;93450
2020-01-05T13:00:00+01:00;98190
2020-01-05T13:00:00+01:00;102810
2020-01-05T13:00:00+01:00;92590
2020-01-05T13:00:00+01:00;102370
2020-01-05T13:00:00+01:00;100270
2020-01-05T13:00:00+01:00;102550
